Coral;Fish;Age class;intercept;low.int;high.int;estimate.coral;low.coral;high.coral;estimate.turf;low.turf;high.turf;Bayesian P-value
agaricia spp;;;;;;;;;;;;
;lutjanus jocu;1;-0.22;-1.4;1.97;3.01;0.21;11.63;-0.73;-1.89;0.19;0.055
;pomacanthus paru;1;0.28;-0.36;1.02;0.84;-0.24;2.66;0.02;-0.65;0.68;0.012
;scarus trispinosus;1;-0.22;-1.92;2.32;6.39;0.73;18.17;-2.77;-8.76;0.01;0.005
;scarus zelindae;1;-0.26;-0.89;0.39;1.04;-0.09;2.82;-0.14;-0.83;0.51;0.005
;sparisoma amplum;1;-1.33;-3.96;1.62;-16.29;-59.15;-1.02;-0.51;-5.9;2.7;0.161
;sparisoma radians;1;-2.16;-4.63;-0.41;-8.54;-19.82;-1.35;-0.47;-1.66;0.58;0.333
;sphyraena barracuda;1;-1.61;-5.5;1.78;10.02;-10.69;36.85;-9.7;-49.3;-0.38;0.198
;stegastes variabilis;1;0.03;-3.05;3.19;-34.63;-74.37;-2.37;-7.91;-23.13;2.54;0.643
;lutjanus apodus;1;-0.58;-3.75;2.17;39.87;3.92;78.09;-1.83;-29.48;10.28;0.594
;acanthostracion polygonius;1;-0.01;-2.93;3.02;-15.73;-49.07;8.98;-33.88;-73.29;-6.5;0.385
;amblycirrhitus pinos;1;-0.3;-3.4;2.57;7.89;-34.27;46.59;-31.92;-68.57;-0.69;0.722
;anisotremus surinamensis;1;0.15;-2.78;3.23;-29.96;-74.53;0.77;2.64;-5.74;11.65;0.337
;aulostomus maculatus;1;-0.4;-3.96;2.64;8.51;-36.11;47.26;-27.65;-65.72;0.9;0.716
;cantherhines pullus;1;-2.18;-4;-0.97;-5.38;-13.14;-0.62;-0.56;-1.53;0.26;0.098
;canthidermis maculata;1;-1.82;-2.96;-0.75;3.28;0.67;7.29;0.19;-0.88;1.42;0.305
;cephalopholis fulva;1;-1.97;-3.36;-0.92;-4.33;-10.44;-0.39;-0.63;-1.68;0.26;0.193
;chromis multilineata;1;-0.44;-1.89;0.85;-5.39;-12.6;-0.65;-0.07;-1.36;0.98;0.001
;clepticus brasiliensis;1;-0.88;-3.96;2.17;-5.18;-34.28;10.85;-0.09;-3.55;3.08;0.391
;epinephelus adscensionis;1;-1.16;-2.26;-0.06;-0.57;-3.92;3.94;0.3;-0.9;1.72;0.644
;halichoeres penrosei;1;-0.09;-3.07;2.79;-13.8;-47.17;10.39;-34.2;-72.83;-6.61;0.442
;holacanthus tricolor;1;0.9;-1.76;3.93;-20.87;-55.93;6.68;-25.99;-51.4;-5.69;0.183
;microspathodon chrysurus;1;-2.63;-4.89;-0.99;-7.61;-18.37;-0.83;-0.6;-1.98;0.59;0.45
;scomberomorus regalis;1;-0.24;-3.26;2.66;3.18;-41.91;41.89;-31.91;-68.9;-1.85;0.794
;halichoeres radiatus;1;-0.45;-1.11;0.22;0.81;-0.17;2.33;0;-0.65;0.67;0.001
;lutjanus analis;1;-0.37;-3.53;2.52;14.73;-35.57;60.13;-24.76;-60.39;-2.54;0.728
;mycteroperca bonaci;1;-0.8;-2.19;1.47;4.07;0.48;13.03;-0.16;-1.96;1.2;0.341
;pseudocaranx dentex;1;0.72;-1.26;3.26;11.14;1.76;23.83;9.04;2.2;20.62;0.562
;stegastes fuscus;1;-0.05;-0.89;0.81;2.91;0.27;6.55;1.89;0.72;3.48;0.075
;bothus ocellatus;1;-0.62;-4.08;2.37;16.01;-30.91;56.02;16.56;0.78;51.26;0.541
;coryphopterus glaucofraenum;1;-0.82;-4.28;2.72;-23.67;-69.49;3.12;7.78;-3.46;31.05;0.501
;malacanthus plumieri;1;-2.79;-4.95;-1.37;-5.16;-14.36;-0.18;0.18;-0.71;1.18;0.672
;stegastes rocasensis;1;-2.2;-3.53;-1.2;-3.32;-8.38;-0.07;-0.36;-1.17;0.47;0.494
;aluterus scriptus;1;-1.41;-2.78;0.48;2.75;0.28;8.05;0.54;-0.67;1.85;0.29
;melichthys niger;1;-3.82;-6.16;-2.2;-5.04;-14.38;-0.01;-0.56;-1.65;0.53;0.379
;rypticus saponaceus;1;-0.22;-3.37;2.77;-0.84;-50.78;44.45;27.79;0.84;63.26;0.824
;mulloidichthys martinicus;1;-1.19;-4.28;2.29;-13.73;-60.51;8.88;0.08;-5.44;5.11;0.438
;caranx latus;1;-0.86;-4.05;2.21;3.56;-33.58;39.21;27.1;1.2;66;0.476
;diodon hystrix;1;-0.11;-3.3;2.9;-13.41;-49.74;12.35;-26.97;-66.36;5.33;0.428
;cryptotomus roseus;1;-1.61;-2.58;-0.64;1.85;0.2;4.48;0.29;-0.6;1.35;0.062
;odontoscion dentex;1;-1.55;-4.7;1.61;9.28;-11.46;45.23;16.89;0.83;51.98;0.301
;aluterus monoceros;1;-1.15;-5.1;1.92;37.03;4.87;76.36;1.46;-8.42;10.77;0.425
;haemulon steindachneri;1;-0.55;-3.42;2.15;23.92;2.21;53.85;31.91;10.5;61.29;0.527
;lactophrys trigonus;1;-1.04;-5.01;2.07;38.28;4.93;79.21;1.1;-8.53;11;0.425
;mycteroperca acutirostris;1;-0.11;-1.31;1.3;2.61;-0.12;7.59;3.32;1.2;6.46;0.319
;sphoeroides spengleri;1;0.98;-0.36;2.86;1.7;-0.51;5.9;2.91;0.87;6.19;0.02
;synodus intermedius;1;-0.21;-3.42;3.16;8.37;-1.09;24.23;13.01;-13.04;60.18;0.653
;balistes vetula;1;-1.27;-4.96;2.61;-22.5;-63.29;-0.13;-5.03;-30.47;19.79;0.297
;canthigaster figueiredoi;1;-1.18;-4.22;2.38;-18.75;-59.04;-0.27;7.39;-1.38;31.8;0.128
;chilomycterus spinosus spinosus;1;-0.71;-4.04;2.75;-24.72;-66.31;-0.45;-4.23;-22.24;12.51;0.182
;diplodus argenteus;1;-1.26;-2.95;-0.1;-4.73;-11.69;-0.53;1.27;0.37;2.31;0.286
;labrisomus nuchipinnis;1;-0.1;-3.62;3.12;-26.52;-68.55;3.28;5.86;-14.23;31.9;0.451
;dactylopterus volitans;1;0.56;-2.82;3.78;15.93;-35.36;45.56;5.95;-14.82;48.26;0.592
;kyphosus sectatrix;1;0.45;-2.46;3.52;-17.06;-58.32;17.7;6.75;-39.06;54.63;0.596
;aulostomus strigosus;1;-0.22;-3.63;2.82;-14.19;-50.75;13.55;-4.48;-60.83;49.53;0.621
;caranx crysos;1;0.07;-3.01;3.1;-19.27;-53.63;3.5;-25.85;-71.46;29;0.55
;fistularia tabacaria;1;-0.05;-3.2;3.01;-30.43;-70.75;0.93;4.41;-16.31;31.11;0.605
