"eventID","higherGeography","verbatimLocality","site","locality","year","eventDate","minimumDepthinMeters","maximumDepthinMeters","samplingProtocol","samplingEffort","sampleSizeValue","decimalLongitude","decimalLatitude","geodeticDatum","Country","countryCode"
"54","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_barra_da_gale_2012_video10","BrazilianCoast","barra_gales","costa_corais","barra_da_gale",2012,2012-03-13,3,3,"video plot",10,2,-35.192744,-9.032689,"decimal degrees","Brazil","BR"
"55","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_barra_da_gale_2012_video2","BrazilianCoast","barra_gales","costa_corais","barra_da_gale",2012,2012-03-13,3,3,"video plot",10,2,-35.192744,-9.032689,"decimal degrees","Brazil","BR"
"56","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_barra_da_gale_2012_video3","BrazilianCoast","barra_gales","costa_corais","barra_da_gale",2012,2012-03-13,3,3,"video plot",10,2,-35.192744,-9.032689,"decimal degrees","Brazil","BR"
"57","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_barra_da_gale_2012_video4","BrazilianCoast","barra_gales","costa_corais","barra_da_gale",2012,2012-03-13,3,3,"video plot",10,2,-35.192744,-9.032689,"decimal degrees","Brazil","BR"
"58","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_barra_da_gale_2012_video5","BrazilianCoast","barra_gales","costa_corais","barra_da_gale",2012,2012-03-13,3,3,"video plot",10,2,-35.192744,-9.032689,"decimal degrees","Brazil","BR"
"59","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_barra_da_gale_2012_video6","BrazilianCoast","barra_gales","costa_corais","barra_da_gale",2012,NA,3,3,"video plot",10,2,-35.192744,-9.032689,"decimal degrees","Brazil","BR"
"60","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_barra_da_gale_2012_video7","BrazilianCoast","barra_gales","costa_corais","barra_da_gale",2012,NA,3,3,"video plot",10,2,-35.192744,-9.032689,"decimal degrees","Brazil","BR"
"61","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_barra_da_gale_2012_video8","BrazilianCoast","barra_gales","costa_corais","barra_da_gale",2012,2012-03-13,3,3,"video plot",10,2,-35.192744,-9.032689,"decimal degrees","Brazil","BR"
"62","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_barra_da_gale_2012_video9","BrazilianCoast","barra_gales","costa_corais","barra_da_gale",2012,2012-03-13,3,3,"video plot",10,2,-35.192744,-9.032689,"decimal degrees","Brazil","BR"
"63","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_gales_2012_video1","BrazilianCoast","gales","costa_corais","gales",2012,2012-03-11,3.5,3.5,"video plot",7,2,-35.191486,-9.024256,"decimal degrees","Brazil","BR"
"64","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_gales_2012_video2","BrazilianCoast","gales","costa_corais","gales",2012,2012-03-11,3.5,3.5,"video plot",7,2,-35.191486,-9.024256,"decimal degrees","Brazil","BR"
"65","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_gales_2012_video3","BrazilianCoast","gales","costa_corais","gales",2012,2012-03-11,3.5,3.5,"video plot",7,2,-35.191486,-9.024256,"decimal degrees","Brazil","BR"
"66","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_gales_2012_video4","BrazilianCoast","gales","costa_corais","gales",2012,2012-03-11,3.5,3.5,"video plot",7,2,-35.191486,-9.024256,"decimal degrees","Brazil","BR"
"67","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_gales_2012_video5","BrazilianCoast","gales","costa_corais","gales",2012,2012-03-11,3.5,3.5,"video plot",7,2,-35.191486,-9.024256,"decimal degrees","Brazil","BR"
"68","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_gales_2012_video6","BrazilianCoast","gales","costa_corais","gales",2012,2012-03-11,3.5,3.5,"video plot",7,2,-35.191486,-9.024256,"decimal degrees","Brazil","BR"
"69","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_gales_2012_video7","BrazilianCoast","gales","costa_corais","gales",2012,2012-03-11,3.5,3.5,"video plot",7,2,-35.191486,-9.024256,"decimal degrees","Brazil","BR"
"70","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_igrejinha_2012_video1","BrazilianCoast","igrejinha","costa_corais","igrejinha",2012,2012-03-08,1.5,1.5,"video plot",4,2,NA,NA,"decimal degrees","Brazil","BR"
"71","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_igrejinha_2012_video2","BrazilianCoast","igrejinha","costa_corais","igrejinha",2012,2012-03-08,1.5,1.5,"video plot",4,2,NA,NA,"decimal degrees","Brazil","BR"
"72","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:costa_corais_igrejinha_2012_video3","BrazilianCoast","igrejinha","costa_corais","igrejinha",2012,2012-03-08,1.5,1.5,"video plot",4,2,NA,NA,"decimal degrees","Brazil","BR"
