eventID,higherGeographyID,locationID,verbatimLocality,locality,eventYear,eventDate,minimumDepthinMeters,maximumDepthinMeters,samplingProtocol,samplingEffort,sampleSizeValue,decimalLongitude,decimalLatitude,geodeticDatum,Country,countryCode
86,BR:SISBIOTA-MAR:btds_santos_pedra_cardinal_2012_Video6,BrazilianCoast,btds_santos,pedra_cardinal,pedra_cardinal,2012,2012-03-01,8,15,photoquadrats,5,0.0625,-38.5491,-12.83708,decimal degrees,Brazil,BR
87,BR:SISBIOTA-MAR:btds_santos_poste_quatro_2012_Video1,BrazilianCoast,btds_santos,poste_quatro,poste_quatro,2012,2012-02-03,8,15,photoquadrats,5,0.0625,-38.571664,-12.814719,decimal degrees,Brazil,BR
88,BR:SISBIOTA-MAR:btds_santos_poste_quatro_2012_Video2,BrazilianCoast,btds_santos,poste_quatro,poste_quatro,2012,2012-02-03,8,15,photoquadrats,5,0.0625,-38.571664,-12.814719,decimal degrees,Brazil,BR
89,BR:SISBIOTA-MAR:btds_santos_poste_quatro_2012_Video3,BrazilianCoast,btds_santos,poste_quatro,poste_quatro,2012,2012-02-03,8,15,photoquadrats,5,0.0625,-38.571664,-12.814719,decimal degrees,Brazil,BR
90,BR:SISBIOTA-MAR:btds_santos_poste_quatro_2012_Video4,BrazilianCoast,btds_santos,poste_quatro,poste_quatro,2012,2012-02-03,8,15,photoquadrats,5,0.0625,-38.571664,-12.814719,decimal degrees,Brazil,BR
91,BR:SISBIOTA-MAR:btds_santos_poste_quatro_2012_Video5,BrazilianCoast,btds_santos,poste_quatro,poste_quatro,2012,2012-02-03,8,15,photoquadrats,5,0.0625,-38.571664,-12.814719,decimal degrees,Brazil,BR
92,BR:SISBIOTA-MAR:btds_santos_poste_quatro_2012_Video6,BrazilianCoast,btds_santos,poste_quatro,poste_quatro,2012,2012-02-03,8,15,photoquadrats,5,0.0625,-38.571664,-12.814719,decimal degrees,Brazil,BR
93,BR:SISBIOTA-MAR:costa_corais_barra_da_gale_2012_Video1,BrazilianCoast,costa_corais,barra_da_gale,barra_da_gale,2012,2012-03-13,1,7,photoquadrats,5,0.0625,-35.192744,-9.032689,decimal degrees,Brazil,BR
94,BR:SISBIOTA-MAR:costa_corais_barra_da_gale_2012_Video2,BrazilianCoast,costa_corais,barra_da_gale,barra_da_gale,2012,2012-03-13,1,7,photoquadrats,5,0.0625,-35.192744,-9.032689,decimal degrees,Brazil,BR
95,BR:SISBIOTA-MAR:costa_corais_barra_da_gale_2012_Video3,BrazilianCoast,costa_corais,barra_da_gale,barra_da_gale,2012,2012-03-13,1,7,photoquadrats,5,0.0625,-35.192744,-9.032689,decimal degrees,Brazil,BR
96,BR:SISBIOTA-MAR:costa_corais_barra_da_gale_2012_Video4,BrazilianCoast,costa_corais,barra_da_gale,barra_da_gale,2012,2012-03-13,1,7,photoquadrats,5,0.0625,-35.192744,-9.032689,decimal degrees,Brazil,BR
97,BR:SISBIOTA-MAR:costa_corais_barra_da_gale_2012_Video5,BrazilianCoast,costa_corais,barra_da_gale,barra_da_gale,2012,2012-03-13,1,7,photoquadrats,5,0.0625,-35.192744,-9.032689,decimal degrees,Brazil,BR
98,BR:SISBIOTA-MAR:costa_corais_barra_da_gale_2012_Video6,BrazilianCoast,costa_corais,barra_da_gale,barra_da_gale,2012,2012-03-13,1,7,photoquadrats,5,0.0625,-35.192744,-9.032689,decimal degrees,Brazil,BR
99,BR:SISBIOTA-MAR:costa_corais_barra_da_gale_2012_Video7,BrazilianCoast,costa_corais,barra_da_gale,barra_da_gale,2012,2012-03-13,1,7,photoquadrats,5,0.0625,-35.192744,-9.032689,decimal degrees,Brazil,BR
100,BR:SISBIOTA-MAR:costa_corais_barra_da_gale_2012_Video8,BrazilianCoast,costa_corais,barra_da_gale,barra_da_gale,2012,2012-03-13,1,7,photoquadrats,5,0.0625,-35.192744,-9.032689,decimal degrees,Brazil,BR
101,BR:SISBIOTA-MAR:costa_corais_gales_2012_Video1,BrazilianCoast,costa_corais,gales,gales,2012,2012-03-11,1,7,photoquadrats,5,0.0625,-35.191486,-9.024256,decimal degrees,Brazil,BR
102,BR:SISBIOTA-MAR:costa_corais_gales_2012_Video2,BrazilianCoast,costa_corais,gales,gales,2012,2012-03-11,1,7,photoquadrats,5,0.0625,-35.191486,-9.024256,decimal degrees,Brazil,BR
103,BR:SISBIOTA-MAR:costa_corais_gales_2012_Video3,BrazilianCoast,costa_corais,gales,gales,2012,2012-03-11,1,7,photoquadrats,5,0.0625,-35.191486,-9.024256,decimal degrees,Brazil,BR
104,BR:SISBIOTA-MAR:costa_corais_gales_2012_Video4,BrazilianCoast,costa_corais,gales,gales,2012,2012-03-11,1,7,photoquadrats,5,0.0625,-35.191486,-9.024256,decimal degrees,Brazil,BR
105,BR:SISBIOTA-MAR:costa_corais_gales_2012_Video5,BrazilianCoast,costa_corais,gales,gales,2012,2012-03-11,1,7,photoquadrats,5,0.0625,-35.191486,-9.024256,decimal degrees,Brazil,BR
106,BR:SISBIOTA-MAR:costa_corais_gales_2012_Video6,BrazilianCoast,costa_corais,gales,gales,2012,2012-03-11,1,7,photoquadrats,5,0.0625,-35.191486,-9.024256,decimal degrees,Brazil,BR
107,BR:SISBIOTA-MAR:costa_corais_taocas_2012_Video1,BrazilianCoast,costa_corais,taocas,taocas,2012,2012-03-12,1,7,photoquadrats,5,0.0625,-35.180628,-8.9985,decimal degrees,Brazil,BR
108,BR:SISBIOTA-MAR:costa_corais_taocas_2012_Video2,BrazilianCoast,costa_corais,taocas,taocas,2012,2012-03-12,1,7,photoquadrats,5,0.0625,-35.180628,-8.9985,decimal degrees,Brazil,BR
109,BR:SISBIOTA-MAR:costa_corais_taocas_2012_Video3,BrazilianCoast,costa_corais,taocas,taocas,2012,2012-03-12,1,7,photoquadrats,5,0.0625,-35.180628,-8.9985,decimal degrees,Brazil,BR
110,BR:SISBIOTA-MAR:costa_corais_taocas_2012_Video4,BrazilianCoast,costa_corais,taocas,taocas,2012,2012-03-12,1,7,photoquadrats,5,0.0625,-35.180628,-8.9985,decimal degrees,Brazil,BR
111,BR:SISBIOTA-MAR:costa_corais_taocas_2012_Video5,BrazilianCoast,costa_corais,taocas,taocas,2012,2012-03-12,1,7,photoquadrats,5,0.0625,-35.180628,-8.9985,decimal degrees,Brazil,BR
112,BR:SISBIOTA-MAR:costa_corais_taocas_2012_Video6,BrazilianCoast,costa_corais,taocas,taocas,2012,2012-03-12,1,7,photoquadrats,5,0.0625,-35.180628,-8.9985,decimal degrees,Brazil,BR
